g52:[347.77, 323.23, 82.9, 271.03, 297.47, 77.03]
g62:[348.85, 312.8, 63.06, 271.03, 287.98, 78.3]
g72:[350.12, 299.09, 36.31, 271.03, 274.96, 79.79]
g82:[351.41, 282.05, 0.97, 270.18, 261.91, 81.18]
f22:[354.79, 353.24, 129.8, 271.2, 313.97, 83.5]
f32:[355.44, 343.55, 116.61, 271.1, 310.47, 84.2]
f42:[355.62, 334.98, 103.08, 271.05, 305.49, 84.45]
f52:[356.3, 325.32, 86.75, 271.03, 298.81, 85.28]
f62:[356.55, 315.19, 67.76, 271.0, 289.91, 85.69]
f72:[356.92, 302.58, 43.47, 270.97, 278.22, 86.28]
f82:[357.49, 282.52, 2.32, 270.38, 260.68, 87.0]
e22:[10.5, 355.74, 132.21, 271.91, 313.73, 98.31]
e32:[8.15, 345.54, 119.39, 271.68, 311.01, 96.15]
e42:[6.34, 336.45, 105.86, 271.47, 306.46, 94.59]
e52:[5.28, 326.62, 88.96, 271.3, 299.44, 93.76]
e62:[4.59, 316.25, 70.3, 271.22, 291.16, 93.28]
e72:[3.62, 304.37, 47.03, 271.08, 279.7, 92.58]
e82:[3.4, 283.08, 3.16, 270.66, 259.98, 92.65]
d22:[27.63, 356.19, 132.29, 272.92, 313.63, 114.35]
d32:[21.34, 345.52, 119.03, 272.48, 310.82, 108.49]
d42:[16.86, 336.37, 105.4, 272.06, 306.22, 104.41]
d52:[14.23, 326.68, 89.28, 271.82, 299.72, 102.15]
d62:[12.2, 316.86, 70.94, 271.46, 291.15, 100.42]
d72:[10.78, 304.1, 46.54, 271.41, 279.47, 99.31]
d82:[9.42, 282.97, 3.26, 270.98, 260.12, 98.43]
c22:[42.07, 353.02, 128.73, 273.37, 313.91, 128.42]
c32:[32.99, 343.59, 116.38, 272.78, 310.57, 119.8]
c42:[26.99, 334.99, 102.94, 272.33, 305.53, 114.3]
c52:[22.92, 325.5, 86.96, 271.97, 298.96, 110.62]
c62:[19.99, 315.43, 68.37, 271.73, 290.31, 108.02]
c72:[17.26, 302.49, 43.21, 271.45, 278.01, 105.67]
c82:[15.67, 282.69, 2.46, 271.03, 260.41, 104.54]
b22:[52.46, 347.83, 122.29, 273.19, 312.9, 138.79]
b32:[42.92, 339.39, 110.27, 272.63, 308.98, 129.72]
b42:[35.98, 331.68, 97.5, 272.24, 303.66, 123.22]
